model_id,model,family,released,params_b,active_params_b,attention,layers,kv_heads,head_dim,full_cache_layers,window_layers,window_tokens,kv_cache_gb_per_1k_tokens,fixed_state_gb,context_tokens,license,license_permissive,role,successor_id,hf_repo,hf_gated,config_url,page_url,attention_detail,notes
gpt-oss-20b,gpt-oss 20B,gpt-oss,2025-08,21,3.6,sliding-window,24,8,64,12,12,128,0.025,,131072,Apache 2.0,true,,,openai/gpt-oss-20b,false,https://huggingface.co/openai/gpt-oss-20b/blob/main/config.json,https://nodegrove.io/models/gpt-oss-20b,"24 layers with 8 KV heads of dimension 64, alternating full attention with a 128-token sliding window, so only half the layers keep a cache that grows",Ships in MXFP4; roughly 4.25 bits per expert weight. Choose the 4-bit row.
devstral-small-2-24b,Devstral Small 2 24B,Mistral,2025-12,24,,standard,40,8,128,40,0,,0.164,,262144,Apache 2.0,true,code,,mistralai/Devstral-Small-2-24B-Instruct-2512,false,https://huggingface.co/mistralai/Devstral-Small-2-24B-Instruct-2512/blob/main/config.json,https://nodegrove.io/models/devstral-small-2-24b,"40 layers, all full attention, with 8 KV heads of dimension 128",Mistral's coding model. The parameter count includes the vision encoder; a text-only GGUF is slightly smaller.
mistral-small-3.1-24b,Mistral Small 3.1 24B,Mistral,2025-03,24,,standard,40,8,128,40,0,,0.164,,131072,Apache 2.0,true,,mistral-small-4-119b,mistralai/Mistral-Small-3.1-24B-Instruct-2503,false,https://huggingface.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503/blob/main/config.json,https://nodegrove.io/models/mistral-small-3.1-24b,"40 layers, all full attention, with 8 KV heads of dimension 128",
gemma-4-26b-a4b,Gemma 4 26B-A4B (MoE),Gemma,2026-03,25.8,3.8,sliding-window,30,8,256,5,25,1024,0.02,,262144,Apache 2.0,true,,,google/gemma-4-26B-A4B-it,false,https://huggingface.co/google/gemma-4-26B-A4B-it/blob/main/config.json,https://nodegrove.io/models/gemma-4-26b-a4b,"30 layers: 25 use sliding-window attention over the last 1,024 tokens (8 KV heads of dimension 256), and 5 are global layers with 2 KV heads of dimension 512",All 128 experts stay in memory; 3.8B are active per token. The parameter count includes the vision encoder; a text-only GGUF is slightly smaller.
gemma-3-27b,Gemma 3 27B,Gemma,2025-03,27.4,,sliding-window,62,16,128,10,52,1024,0.082,,131072,Gemma Terms of Use,false,,gemma-4-31b,google/gemma-3-27b-it,true,https://huggingface.co/google/gemma-3-27b-it/blob/main/config.json,https://nodegrove.io/models/gemma-3-27b,"62 layers with 16 KV heads of dimension 128; five in every six use sliding-window attention and only remember the last 1,024 tokens, so 10 global layers carry the long context",A runtime without a sliding-window cache stores every layer at full length and needs far more than this at long context.
qwen3.8-27b,Qwen3.8 27B,Qwen,2026-08,27.8,,hybrid,64,4,256,16,0,,0.066,0.15,262144,Apache 2.0,true,,,Qwen/Qwen3.8-27B,false,https://huggingface.co/Qwen/Qwen3.8-27B/blob/main/config.json,https://nodegrove.io/models/qwen3.8-27b,"64 layers, of which only 16 are full attention (4 KV heads of dimension 256) and keep a cache that grows with the conversation; the other 48 are Gated DeltaNet linear-attention layers with a fixed state of about 0.15 GB",The parameter count includes the vision encoder; a text-only GGUF is slightly smaller.
qwen3-30b-a3b,Qwen3 30B-A3B (MoE),Qwen,2025-04,30.5,3.3,standard,48,4,128,48,0,,0.098,,40960,Apache 2.0,true,,qwen3.6-35b-a3b,Qwen/Qwen3-30B-A3B,false,https://huggingface.co/Qwen/Qwen3-30B-A3B/blob/main/config.json,https://nodegrove.io/models/qwen3-30b-a3b,"48 layers, all full attention, with 4 KV heads of dimension 128","All experts stay in memory; only 3.3B are active per token, so it is fast for its size."
glm-4.7-flash,GLM-4.7 Flash 30B-A3B (MoE),GLM,2026-01,31.2,3,latent,47,20,256,47,0,,0.054,,202752,MIT,true,,,zai-org/GLM-4.7-Flash,false,https://huggingface.co/zai-org/GLM-4.7-Flash/blob/main/config.json,https://nodegrove.io/models/glm-4.7-flash,"47 layers using multi-head latent attention: instead of keys and values for each of its 20 heads, every layer caches one compressed vector of 576 values per token",A runtime that does not implement the latent cache stores full keys and values and needs several times more context memory.
gemma-4-31b,Gemma 4 31B,Gemma,2026-03,31.3,,sliding-window,60,16,256,10,50,1024,0.082,,262144,Apache 2.0,true,,,google/gemma-4-31B-it,false,https://huggingface.co/google/gemma-4-31B-it/blob/main/config.json,https://nodegrove.io/models/gemma-4-31b,"60 layers: 50 use sliding-window attention over the last 1,024 tokens (16 KV heads of dimension 256), and 10 are global layers with 4 KV heads of dimension 512",A runtime without a sliding-window cache stores every layer at full length and needs far more than this at long context. The parameter count includes the vision encoder; a text-only GGUF is slightly smaller.
nemotron-3.5-lightning-30b-a3b,Nemotron 3.5 Lightning 30B-A3B (MoE),Nemotron,2026-08,31.6,3,hybrid,52,2,128,6,0,,0.006,0.05,262144,OpenMDW 1.1,false,,,nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16,false,https://huggingface.co/nvidia/NVIDIA-Nemotron-3.5-Lightning-30B-A3B-BF16/blob/main/config.json,https://nodegrove.io/models/nemotron-3.5-lightning-30b-a3b,"52 blocks, of which only 6 are attention layers (2 KV heads of dimension 128); 23 are Mamba-2 layers with a small fixed state and 23 are mixture-of-experts layers with no cache at all",
qwen3-32b,Qwen3 32B,Qwen,2025-04,32.8,,standard,64,8,128,64,0,,0.262,,40960,Apache 2.0,true,,qwen3.8-27b,Qwen/Qwen3-32B,false,https://huggingface.co/Qwen/Qwen3-32B/blob/main/config.json,https://nodegrove.io/models/qwen3-32b,"64 layers, all full attention, with 8 KV heads of dimension 128",
qwen2.5-coder-32b,Qwen2.5 Coder 32B,Qwen,2024-11,32.8,,standard,64,8,128,64,0,,0.262,,32768,Apache 2.0,true,code,qwen3-coder-next,Qwen/Qwen2.5-Coder-32B-Instruct,false,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct/blob/main/config.json,https://nodegrove.io/models/qwen2.5-coder-32b,"64 layers, all full attention, with 8 KV heads of dimension 128",
deepseek-r1-distill-qwen-32b,DeepSeek-R1 Distill Qwen 32B,DeepSeek,2025-01,32.8,,standard,64,8,128,64,0,,0.262,,131072,MIT,true,reasoning,,deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,false,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B/blob/main/config.json,https://nodegrove.io/models/deepseek-r1-distill-qwen-32b,"64 layers, all full attention, with 8 KV heads of dimension 128",
qwen3.6-35b-a3b,Qwen3.6 35B-A3B (MoE),Qwen,2026-04,36,3,hybrid,40,2,256,10,0,,0.02,0.06,262144,Apache 2.0,true,,,Qwen/Qwen3.6-35B-A3B,false,https://huggingface.co/Qwen/Qwen3.6-35B-A3B/blob/main/config.json,https://nodegrove.io/models/qwen3.6-35b-a3b,"40 layers, of which only 10 are full attention (2 KV heads of dimension 256) and keep a cache that grows with the conversation; the other 30 are Gated DeltaNet linear-attention layers with a small fixed state",All 256 experts stay in memory; 3B are active per token. The parameter count includes the vision encoder; a text-only GGUF is slightly smaller.
llama-3.3-70b,Llama 3.3 70B,Llama,2024-12,70.6,,standard,80,8,128,80,0,,0.328,,131072,Llama Community License,false,,,meta-llama/Llama-3.3-70B-Instruct,true,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct/blob/main/config.json,https://nodegrove.io/models/llama-3.3-70b,"80 layers, all full attention, with 8 KV heads of dimension 128",
deepseek-r1-distill-llama-70b,DeepSeek-R1 Distill Llama 70B,DeepSeek,2025-01,70.6,,standard,80,8,128,80,0,,0.328,,131072,MIT,true,reasoning,,deepseek-ai/DeepSeek-R1-Distill-Llama-70B,false,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B/blob/main/config.json,https://nodegrove.io/models/deepseek-r1-distill-llama-70b,"80 layers, all full attention, with 8 KV heads of dimension 128",
qwen3-coder-next,Qwen3-Coder-Next 80B-A3B (MoE),Qwen,2026-01,79.7,3,hybrid,48,2,256,12,0,,0.025,0.08,262144,Apache 2.0,true,code,,Qwen/Qwen3-Coder-Next,false,https://huggingface.co/Qwen/Qwen3-Coder-Next/blob/main/config.json,https://nodegrove.io/models/qwen3-coder-next,"48 layers, of which only 12 are full attention (2 KV heads of dimension 256) and keep a cache that grows with the conversation; the other 36 are Gated DeltaNet linear-attention layers with a small fixed state","All 512 experts stay in memory; 3B are active per token, so it answers like a small model once it is loaded."
gpt-oss-120b,gpt-oss 120B,gpt-oss,2025-08,117,5.1,sliding-window,36,8,64,18,18,128,0.037,,131072,Apache 2.0,true,,,openai/gpt-oss-120b,false,https://huggingface.co/openai/gpt-oss-120b/blob/main/config.json,https://nodegrove.io/models/gpt-oss-120b,"36 layers with 8 KV heads of dimension 64, alternating full attention with a 128-token sliding window, so only half the layers keep a cache that grows",Ships in MXFP4; OpenAI states it runs on a single 80 GB GPU. Choose the 4-bit row.
mistral-small-4-119b,Mistral Small 4 119B (MoE),Mistral,2026-03,119,6.5,latent,36,32,128,36,0,,0.023,,262144,Apache 2.0,true,,,mistralai/Mistral-Small-4-119B-2603,false,https://huggingface.co/mistralai/Mistral-Small-4-119B-2603/blob/main/config.json,https://nodegrove.io/models/mistral-small-4-119b,"36 layers using multi-head latent attention: instead of keys and values for each of its 32 heads, every layer caches one compressed vector of 320 values per token",Small in name only: all 128 experts stay in memory. A runtime that does not implement the latent cache needs several times more context memory. The parameter count includes the vision encoder; a text-only GGUF is slightly smaller.
